Brand Name,Reviews,Review Votes,Rating
Apple,"This is the version of the iphone you want if you are an international traveler from the states. Either the iPhone 5, 5c, or 5S; if you don't get the factory unlocked version online, then buy the Verizon Wireless version only. Unlike AT&T and Sprint (DO NOT buy the Sprint model, they don't support enough LTE bands for international travel) Verizon sells their phones unlocked. With AT&T you have to go through a lot of red tape just to get it unlocked; not cool. If you decided to buy directly from a Verzion store, just buy the phone without a contract and go with a month-to-month plan. People think they are getting a deal on the phone by getting the 2-year contract, but in the long run, you will be spending WAAAYYY more than if you would just spend the money for the phone out right and go with a prepaid plan. You'll save a lot more money that way. Spend $500 now and have the freedom to go with any phone company you want, or spend about $2000 for the next two years? The choice is yours... >:D",72,5
Apple,"I did not receive a Verizon wireless,as stated in the title, but instead a T-mobile wireless.",31,1
Apple,Not only was the phone a great price but even more than that was the person that sold it to me. I will never forget her kindness and caring. Probably one of the best experiences I have ever had on any online store,11,5
Apple,"First off this is NOT a verizon phone. I put the verizon sim card in it and it did not get any cell service. I contacted verizon and they told me the serial number was not a real phone so what is it?? Ridiculous. Second. It charged one time. And did not charge agian. The phone would not take a charge. It said charging, but the battery just went down. Better get a refund.",11,1
Apple,This phone is advertised as Verizon.. it DOES NOT work with Verizon accounts! Huge waste of time and money and had to be returned. Don't waste your time.,27,1
Apple,"Picked this phone up and was pleasantly surprised, it arrived in original iPhone packaging, all accessories included and not a scratch. I'd swear this phone was brand new perfect in every way including operation. Brought it to Verizon where they installed a new SIM card and activated the phone with contacts from an older flip model. Total time in store was about 15 minutes without a single issue. Logs on to our home network and receives a great signal and clear voice. All apps work flawlessly, not a single complaint, very pleased, highly recommended.",12,5
Apple,"The discription reads that it is a Verizon Wireless phone. However, I did not receive a Verizon phone like promised and was unable to use it. It is also a phone of much lesser value if you try to sell it.",21,1
Apple,"I did not receive a ""Verizon Wireless"" phone, rather an unlocked iPhone. The difference being that Verizon uses CDMA and unlocked iPhones only work with GSM networks like AT&T. In short, the phone will never work on the Verizon network and was a huge waste of my time and money.",121,1
Apple,"The Seller didn't factory unlock this phone as stated... He kept saying that he unlocked it, and I checked with APPLE, ISP, and a couple of professionals and it was locked. I would never buy from this idiot again. He defies all logic and just keeps telling me that it's unlocked. He provided no answer other than it was unlocked, and the iphone didn't work. So I professionally unlocked the phone, and it works now.Beware of people that tell you that the iphone is factory unlocked.",75,1
Apple,"the buyer is no good. this iPhone camera didn't work and the Touch ID didn't work, I will never buy another phone here.",48,1
Apple,"I had to take this phone in after owning it for 3 months (kept in a life-proof case). I was told by Apple that it was a refurbished phone, the screen is loose, and I am having software problems. This was not a new phone as advertised.",10,1
Apple,"I bought this phone ""new"" only to find out it is not. The battery percentage was going crazy so I took it into the apple store, only to find that it had been used for the last year and a half and the battery was failing because of it. Also, the software did not pass the apple test when I took it in. So if you want a failing phone with bad software this is the right place for you!",33,1
Apple,"Okay so first of all, I emailed the seller and asked if there was any way he'd be able to get my order to me quicker, and he did just that. Secondly, the phone came ready to use. It came about half way charged all I needed to do was turn it on. Also the phone came as described, used but like new. There were a few scuffs on the top but no scratches or cracks that weren't previously mentioned from the seller. Finally, all I did was put my sim card in (T-MobileÉ??) and the phone was working right away. I didn't have to call my phone company and this phone set up in any way. Great seller and great product.",12,5
Apple,Telephone has a lot of scratches on the screen and it was not mentioned in the description.,13,3
Apple,Do NOT buy This phone it was not unlocked as it said. It would NOT work with Verizon yet seller stated it would. I spent 1 hour 38 minutes with Verizon trying to figure it out. They called apple and Apple would not unlock it. The phone will NOT work with Verizon.,14,1
Apple,Amazon sent this phone in like new condition. The problem I have is that I didn't realize how outdated this iPhone is compared to the newest generations.... If you just want an iPhone then it is a good bargain.,22,4
Apple,All the other IPhones are overrated. The 2g works just as well. Basic. Sleek. Cool. Holds just the right amount of information that one needs.,14,5
Apple,Well I'm not sure if this one said unlocked or not but it came to us locked. However by looking it up we were able to jailbreak and unlock it. I think this is a good phone for the price. I would most defense recommend people getting it if they aren't looking to keep up with the times. However every experience is different but I think it was worth it.,16,5
Apple,"This item arrived on time, and looked great, it just didn't work. I couldn't even turn it on! Seriously I sat there for maybe 15 minutes looking at the frozen start-up screen hoping it would pass. Then, when I went to exchange it for a working one they tell me 'I see you placed this order with our subsidiary Warehouse Deals. With Warehouse Deals' inventory constantly changing, we're unable to replace your order.'So now, I have to find a printer to print out the return label, wait for it to get there, THEN wait 3-5 bussiness days for the money to get back. Don't even bother.",15,1
